
2025/02/17 (13:01:10) | ===> btop++ v.1.4.0
2025/02/17 (13:01:10) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/02/17 (13:06:03) | ===> btop++ v.1.4.0
2025/02/17 (13:06:03) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/02/17 (13:07:45) | ===> btop++ v.1.4.0
2025/02/17 (13:07:45) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/02/26 (14:06:17) | ===> btop++ v.1.4.0
2025/02/26 (14:06:17) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/02/26 (14:08:17) | ===> btop++ v.1.4.0
2025/02/26 (14:08:17) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/02/26 (14:08:32) | ===> btop++ v.1.4.0
2025/02/26 (14:08:32) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/02/26 (16:30:14) | ===> btop++ v.1.4.0
2025/02/26 (16:30:14) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/02/26 (16:30:19) | ===> btop++ v.1.4.0
2025/02/26 (16:30:19) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/02/26 (16:31:27) | ===> btop++ v.1.4.0
2025/02/26 (16:31:27) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/02/27 (06:48:25) | ===> btop++ v.1.4.0
2025/02/27 (06:48:25) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/02/27 (06:48:28) | ===> btop++ v.1.4.0
2025/02/27 (06:48:28) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/02/27 (06:49:02) | ===> btop++ v.1.4.0
2025/02/27 (06:49:02) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

2025/03/02 (20:35:30) | ===> btop++ v.1.4.0
2025/03/02 (20:35:30) | WARNING: Failed to get disk/partition stats for mount "/run/media/m/Illegal\134x20drive" with statvfs error code: 2. Ignoring...

